"last_name, first_name","player_id","year","on_base_plus_slg","woba","xwoba","xiso","avg_swing_speed","avg_swing_length","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed"
"Harris II, Michael","671739","2024","0.722",".312",".345",".181",74.7,"8.1","90.5",33.5,10,47,"103.329018908","96.053474224"
"Bailey, Patrick","672275","2024","0.637",".281",".321",".145",71.3,"7.3","91.3",37.9,5.5,43,"100.739347483","94.770639073"
"Siani, Michael","672279","2024","0.570",".257",".241",".061",68.9,"7.2","84.4",32.6,2.3,22.6,"95.786961649","91.898789433"
"Kelenic, Jarred","672284","2024","0.679",".294",".309",".175",72.7,"7.3","89.8",38.2,9.9,45.2,"100.297571631","94.504780603"
"Arias, Gabriel","672356","2024","0.608",".263",".275",".152",74.5,"7.6","89.7",35.6,7.9,36.6,"101.274794118","94.824434059"
"Kirk, Alejandro","672386","2024","0.678",".297",".324",".140",70.1,"7","89.4",34.6,6.7,40.9,"99.802023893","94.269440505"
"Moreno, Gabriel","672515","2024","0.733",".325",".329",".138",70.7,"7","90",33.6,6.6,41,"99.887726484","94.221263359"
"Garcia, Maikel","672580","2024","0.613",".270",".303",".111",70.8,"7.2","90.4",34.1,3.7,42.8,"100.050927426","94.39492241"
"Lopez, Otto","672640","2024","0.690",".302",".316",".125",70.7,"6.6","88",30.4,5.1,38.9,"99.482984485","93.902266182"
"Perdomo, Geraldo","672695","2024","0.718",".317",".280",".085",66.9,"6.8","87",28.9,3.1,25.8,"96.084793623","92.044093913"
"Pérez, Wenceel","672761","2024","0.683",".299",".292",".116",70.3,"6.9","88.4",37.7,4.3,30.6,"97.264471429","92.757975085"
"Sosa, Lenyn","672820","2024","0.642",".280",".321",".150",71.7,"7.4","89",42.2,6.1,41.2,"99.355197445","93.909530839"
"Diaz, Yainer","673237","2024","0.766",".329",".340",".165",72.6,"7.4","90.2",35,7.6,47.5,"101.297056214","95.034359505"
"Robert Jr., Luis","673357","2024","0.657",".285",".283",".165",74.5,"7.7","90.1",35.6,9.9,40.7,"101.232868968","94.886076944"
"Kim, Ha-Seong","673490","2024","0.700",".308",".316",".111",69,"6.8","87.9",36.6,4.8,35.4,"98.621780994","93.412597329"
"Suzuki, Seiya","673548","2024","0.848",".365",".348",".205",73,"7.2","91.7",38.8,11.5,49.2,"102.565369326","95.834191408"
